// ID, state, Author, Date (Open), Date (Close)
// Date pattern: DD/MM/YYYY
// Issues from Repository: https://github.com/zulip/zulip

1683,closed,XXX,showell,23/08/2016,27/08/2016
1682,open,XXX,caipre,23/08/2016,Null
1681,closed,XXX,caipre,23/08/2016,25/08/2016
1680,open,XXX,caipre,23/08/2016,Null
1679,open,XXX,caipre,23/08/2016,Null
1678,closed,XXX,timabbott,23/08/2016,23/08/2016
1677,open,XXX,timabbott,23/08/2016,Null
1676,closed,XXX,showell,23/08/2016,23/08/2016
1675,closed,XXX,brockwhittaker,23/08/2016,26/08/2016
1674,closed,XXX,brockwhittaker,23/08/2016,27/08/2016
1673,open,XXX,showell,22/08/2016,Null
1672,closed,XXX,timabbott,22/08/2016,19/09/2016
1671,open,XXX,showell,22/08/2016,Null
1670,closed,XXX,timabbott,22/08/2016,28/09/2016
1669,open,XXX,TI-Admin,22/08/2016,Null
1668,closed,XXX,krtkmj,22/08/2016,12/10/2016
1667,closed,XXX,krtkmj,21/08/2016,12/10/2016
1666,open,XXX,neerajwahi,21/08/2016,Null
1665,closed,XXX,Aahanbhatt,20/08/2016,25/08/2016
1664,closed,XXX,showell,20/08/2016,23/08/2016
1663,open,XXX,timabbott,19/08/2016,Null
1662,closed,XXX,showell,19/08/2016,11/10/2016
1661,open,XXX,showell,19/08/2016,Null
1660,closed,XXX,brockwhittaker,19/08/2016,26/09/2016
1659,open,XXX,brockwhittaker,18/08/2016,Null
1658,closed,XXX,showell,18/08/2016,19/08/2016
1657,open,XXX,timabbott,18/08/2016,Null
1656,open,XXX,timabbott,18/08/2016,Null
1655,open,XXX,timabbott,18/08/2016,Null
1654,open,XXX,timabbott,18/08/2016,Null
1653,open,XXX,timabbott,18/08/2016,Null
1652,closed,XXX,showell,18/08/2016,18/08/2016
1651,closed,XXX,christi3k,18/08/2016,18/08/2016
1650,open,XXX,showell,18/08/2016,Null
1649,open,XXX,showell,18/08/2016,Null
1648,open,XXX,showell,18/08/2016,Null
1647,closed,XXX,showell,18/08/2016,18/08/2016
1646,closed,XXX,showell,18/08/2016,18/08/2016
1645,closed,XXX,showell,18/08/2016,18/08/2016
1644,closed,XXX,timabbott,18/08/2016,18/08/2016
1643,closed,XXX,christi3k,18/08/2016,25/08/2016
1642,closed,XXX,brockwhittaker,18/08/2016,18/08/2016
1641,open,XXX,umkay,17/08/2016,Null
1640,closed,XXX,showell,17/08/2016,23/08/2016
1639,closed,XXX,umairwaheed,17/08/2016,16/09/2016
1638,open,XXX,showell,17/08/2016,Null
1637,closed,XXX,christi3k,17/08/2016,17/08/2016
1636,open,XXX,umkay,16/08/2016,Null
1635,open,XXX,brockwhittaker,16/08/2016,Null
1634,open,XXX,rishig,16/08/2016,Null
1633,open,XXX,aaronpk,16/08/2016,Null
1632,closed,XXX,brockwhittaker,16/08/2016,16/08/2016
1631,closed,XXX,showell,16/08/2016,18/08/2016
1630,closed,XXX,brockwhittaker,16/08/2016,16/08/2016
1629,closed,XXX,brockwhittaker,15/08/2016,15/08/2016
1628,open,XXX,timabbott,15/08/2016,Null
1627,closed,XXX,rishig,15/08/2016,27/09/2016
1626,open,XXX,showell,15/08/2016,Null
1625,open,XXX,showell,15/08/2016,Null
1624,open,XXX,showell,15/08/2016,Null
1623,closed,XXX,showell,15/08/2016,27/08/2016
1622,closed,XXX,brainwane,15/08/2016,16/08/2016
1621,closed,XXX,brainwane,15/08/2016,16/08/2016
1620,closed,XXX,brainwane,14/08/2016,11/10/2016
1619,closed,XXX,showell,14/08/2016,16/08/2016
1618,closed,XXX,showell,14/08/2016,23/08/2016
1617,open,XXX,krtkmj,13/08/2016,Null
1616,closed,XXX,showell,13/08/2016,15/08/2016
1615,closed,XXX,brainwane,13/08/2016,18/08/2016
1614,closed,XXX,TroJan,13/08/2016,15/08/2016
1613,closed,XXX,TroJan,13/08/2016,19/08/2016
1612,closed,XXX,rishig,13/08/2016,13/08/2016
1611,open,XXX,rishig,13/08/2016,Null
1610,closed,XXX,umkay,13/08/2016,16/08/2016
1609,closed,XXX,umkay,12/08/2016,13/08/2016
1608,open,XXX,showell,12/08/2016,Null
1607,closed,XXX,showell,12/08/2016,12/08/2016
1606,closed,XXX,3ruce,12/08/2016,25/08/2016
1605,open,XXX,timabbott,12/08/2016,Null
1604,open,XXX,jmandel,12/08/2016,Null
1603,closed,XXX,showell,12/08/2016,12/08/2016
1602,open,XXX,rishig,11/08/2016,Null
1601,closed,XXX,brainwane,11/08/2016,16/08/2016
1600,closed,XXX,rishig,11/08/2016,12/08/2016
1599,open,XXX,rishig,11/08/2016,Null
1598,closed,XXX,umairwaheed,11/08/2016,20/09/2016
1597,closed,XXX,rishig,10/08/2016,13/08/2016
1596,open,XXX,timabbott,10/08/2016,Null
1595,closed,XXX,umkay,10/08/2016,16/08/2016
1594,closed,XXX,showell,10/08/2016,12/08/2016
1593,open,XXX,rwbarton,10/08/2016,Null
1592,open,XXX,krtkmj,10/08/2016,Null
1591,closed,XXX,umairwaheed,10/08/2016,10/08/2016
1590,closed,XXX,kkampardi,10/08/2016,26/08/2016
1589,open,XXX,timabbott,10/08/2016,Null
1588,closed,XXX,showell,10/08/2016,10/08/2016
1587,open,XXX,timabbott,10/08/2016,Null
1586,open,XXX,rishig,09/08/2016,Null
1585,closed,XXX,TomaszKolek,09/08/2016,18/08/2016
1584,closed,XXX,showell,09/08/2016,16/08/2016
1583,closed,XXX,TomaszKolek,09/08/2016,26/08/2016
1582,open,XXX,timabbott,09/08/2016,Null
1581,open,XXX,timabbott,09/08/2016,Null
1580,closed,XXX,timabbott,09/08/2016,10/08/2016
1579,closed,XXX,timabbott,09/08/2016,12/08/2016
1578,open,XXX,timabbott,09/08/2016,Null
1577,open,XXX,timabbott,09/08/2016,Null
1576,closed,XXX,umairwaheed,09/08/2016,09/08/2016
1575,closed,XXX,timabbott,09/08/2016,09/08/2016
1574,closed,XXX,umairwaheed,09/08/2016,09/08/2016
1573,closed,XXX,brockwhittaker,09/08/2016,09/08/2016
1572,closed,XXX,brockwhittaker,09/08/2016,26/09/2016
1571,closed,XXX,brockwhittaker,09/08/2016,09/08/2016
1570,closed,XXX,showell,09/08/2016,09/08/2016
1569,closed,XXX,TomaszKolek,08/08/2016,09/08/2016
1568,open,XXX,TomaszKolek,08/08/2016,Null
1567,closed,XXX,showell,08/08/2016,15/08/2016
1566,open,XXX,jmandel,08/08/2016,Null
1565,closed,XXX,mark0978,08/08/2016,26/08/2016
1564,closed,XXX,umairwaheed,08/08/2016,09/08/2016
1563,closed,XXX,brockwhittaker,08/08/2016,10/08/2016
1562,closed,XXX,showell,07/08/2016,08/08/2016
1561,open,XXX,showell,07/08/2016,Null
1560,closed,XXX,showell,07/08/2016,08/08/2016
1559,closed,XXX,showell,07/08/2016,08/08/2016
1558,closed,XXX,TroJan,07/08/2016,26/08/2016
1557,open,XXX,showell,06/08/2016,Null
1556,open,XXX,showell,06/08/2016,Null
1555,open,XXX,timabbott,06/08/2016,Null
1554,closed,XXX,timabbott,05/08/2016,27/08/2016
1553,closed,XXX,timabbott,05/08/2016,11/10/2016
1552,closed,XXX,TroJan,05/08/2016,05/08/2016
1551,closed,XXX,jmandel,05/08/2016,05/08/2016
1550,closed,XXX,showell,05/08/2016,05/08/2016
1549,closed,XXX,showell,05/08/2016,10/08/2016
1548,closed,XXX,rishig,05/08/2016,07/10/2016
1547,open,XXX,rishig,05/08/2016,Null
1546,closed,XXX,christi3k,04/08/2016,04/08/2016
1545,open,XXX,showell,04/08/2016,Null
1544,closed,XXX,showell,04/08/2016,05/08/2016
1543,closed,XXX,ragsagar,04/08/2016,26/08/2016
1542,closed,XXX,TroJan,04/08/2016,05/08/2016
1541,closed,XXX,showell,04/08/2016,28/08/2016
1540,closed,XXX,krtkmj,04/08/2016,09/08/2016
1539,open,XXX,rishig,04/08/2016,Null
1538,closed,XXX,TomaszKolek,03/08/2016,27/08/2016
1537,closed,XXX,timabbott,03/08/2016,16/08/2016
1536,closed,XXX,showell,03/08/2016,04/08/2016
1535,open,XXX,timabbott,03/08/2016,Null
1534,closed,XXX,showell,03/08/2016,04/08/2016
1533,closed,XXX,showell,03/08/2016,11/10/2016
1532,closed,XXX,showell,03/08/2016,05/08/2016
1531,closed,XXX,umairwaheed,03/08/2016,05/08/2016
1530,closed,XXX,showell,03/08/2016,10/09/2016
1529,open,XXX,timabbott,03/08/2016,Null
1528,open,XXX,timapril,03/08/2016,Null
1527,open,XXX,timabbott,03/08/2016,Null
1526,open,XXX,showell,03/08/2016,Null
1525,open,XXX,brainwane,02/08/2016,Null
1524,closed,XXX,brainwane,02/08/2016,02/08/2016
1523,closed,XXX,TomaszKolek,02/08/2016,03/08/2016
1522,open,XXX,showell,02/08/2016,Null
1521,closed,XXX,christi3k,02/08/2016,02/08/2016
1520,closed,XXX,christi3k,02/08/2016,02/08/2016
1519,closed,XXX,timabbott,02/08/2016,20/09/2016
1518,open,XXX,timabbott,02/08/2016,Null
1517,closed,XXX,christi3k,02/08/2016,25/08/2016
1516,open,XXX,timabbott,02/08/2016,Null
1515,open,XXX,brainwane,02/08/2016,Null
1514,closed,XXX,rishig,02/08/2016,02/08/2016
1513,closed,XXX,showell,02/08/2016,03/08/2016
1512,open,XXX,timapril,01/08/2016,Null
1511,open,XXX,showell,01/08/2016,Null
1510,open,XXX,rishig,01/08/2016,Null
1509,open,XXX,timabbott,01/08/2016,Null
1508,closed,XXX,timabbott,01/08/2016,16/08/2016
1507,closed,XXX,timabbott,01/08/2016,20/09/2016
1506,open,XXX,timapril,01/08/2016,Null
1505,closed,XXX,davidbalbert,01/08/2016,18/08/2016
1504,closed,XXX,showell,01/08/2016,01/08/2016
1503,closed,XXX,mranish,01/08/2016,01/08/2016
1502,closed,XXX,umairwaheed,01/08/2016,03/08/2016
1501,closed,XXX,rosehosting,01/08/2016,02/08/2016
1500,closed,XXX,showell,01/08/2016,01/08/2016
1499,closed,XXX,showell,01/08/2016,02/08/2016
1498,closed,XXX,timabbott,01/08/2016,23/09/2016
1497,closed,XXX,showell,31/07/2016,01/08/2016
1496,closed,XXX,TroJan,31/07/2016,02/08/2016
1495,open,XXX,showell,31/07/2016,Null
1494,closed,XXX,ragsagar,31/07/2016,01/08/2016
1493,closed,XXX,timabbott,31/07/2016,31/07/2016
1492,open,XXX,timabbott,31/07/2016,Null
1491,closed,XXX,timabbott,30/07/2016,26/08/2016
1490,closed,XXX,timabbott,30/07/2016,26/08/2016
1489,closed,XXX,timabbott,30/07/2016,09/08/2016
1488,open,XXX,timabbott,30/07/2016,Null
